Place,WindFlow,Rainfall,Humidity,Temperature,PestActivity,Latitude,Longitude
Mizoram,4.3,57.8,83.6,15.8,High,23,93
Punjab,1.8,251.4,55.9,26,Low,30.91667,75.41667
Bihar,4.8,172,74.5,19.4,High,25.75,85.75
Meghalaya,2.9,137.8,89.7,33.6,High,25.5,91.33333
Andhra Pradesh,1.3,132.9,82.8,26.1,Low,15.83333,79.75
Tamil Nadu,1.5,218.3,34.8,22.5,High,11,78.33333
Bhutan,3.3,225,58.3,17.6,Low,27.5,90.5
Tripura,4.6,164.2,60.7,17.6,Low,24,92
West Bengal,4.1,133.7,57.6,40.5,Moderate,24,88
Telangana,0.7,172,55.7,22.4,High,17.83333,79.08333
Kerala,1.2,71.7,33.8,16.1,Low,10.41667,76.5
Assam,1,228.5,85,25.1,Moderate,26,93
Bangladesh,1.6,224.7,64.4,11.8,Moderate,24,90
West Bengal,4.7,200.5,63.8,15.4,Moderate,24,88
Bihar,2.4,211.1,82.9,10.1,Low,25.75,85.75
Goa,0.7,71.1,68.6,16.5,High,15.33333,74.08333
Gujarat,3.1,132.1,77.8,30.7,Low,23,71.75
Maharashtra,2.7,290.2,74,32.4,Low,19.5,76
Mizoram,0.9,187.6,88.9,25.5,High,23,93
Goa,4.2,127.1,39.9,25.9,Moderate,15.33333,74.08333
Myanmar,3.5,209.1,36.8,20.4,Low,21,96
Bangladesh,1.1,233,51.3,35.1,High,24,90
Delhi,3.9,128,51.5,30.2,High,22,79
Bihar,1.7,103.6,75.1,16.7,Low,25.75,85.75
Sikkim,1.8,199.5,45.3,23.3,Moderate,27.75,88.5
Andhra Pradesh,3.5,84,60.4,16.9,Low,15.83333,79.75
Goa,2.4,219.2,59.5,22.7,High,15.33333,74.08333
Chhattisgarh,4,257.7,83.9,29.9,High,21.5,82
Bangladesh,1.9,157.2,53,20.7,Low,24,90
Sikkim,2.3,240.6,37.5,33.1,Moderate,27.75,88.5
Uttarakhand,1.8,269.1,84.1,34.5,Moderate,30.25,79.25
Himachal Pradesh,3.8,246.5,78.9,16.7,Moderate,31.91667,77.25
Myanmar,2.3,171.5,51.6,26.1,Moderate,21,96
Telangana,1.7,230.7,54.9,42.2,High,17.83333,79.08333
Assam,2,121,71.8,26.7,Moderate,26,93
Manipur,4.2,124.5,53.6,13.3,High,25,94
Assam,3.9,197.6,53.3,14.7,Moderate,26,93
Himachal Pradesh,1.7,69.7,40.4,11.7,High,31.91667,77.25
Gujarat,2.4,291.6,44.3,28,Moderate,23,71.75
Kerala,1.7,120.3,59.6,38.5,Moderate,10.41667,76.5
Andhra Pradesh,1.5,205.9,58.9,26.8,Moderate,15.83333,79.75
Bihar,3.4,258.2,38.3,14,Low,25.75,85.75
Assam,0.7,236.9,76.5,11.7,Moderate,26,93
Uttarakhand,2.4,99.1,63,33.1,Moderate,30.25,79.25
